,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Florentin Pogba ,5.0,0,0,0,0,0,0,0,0.5,1.4,1.2,0,0.5,0.5,1.4,2.8,1.4,1.4,0.2,0,0,0,0,1.9,0,0,0,389.0,0,0.7,0.7,0.2,4.9,4.4,56.7,6.92,0,0,0,0,0,42.8,4.6,0,0.2,0,0.2,1.6,1.2,"Atlanta United, ",1.4,0.2
Maynor Figueroa ,21.0,0,0,0,0,0,0,0,0.4,3.9,0,0,0.6,0.6,1.4,3.3,1.9,0.8,1.1,0,0,0,0,1.3,0.1,0.3,0.4,1890.0,0,0.8,0.6,0.1,4.4,4.2,56.2,6.63,0,0,0,0,0,42.0,5.6,0.9,0,0,0.9,1.5,1.0,"Houston Dynamo, ",0.3,0.3
Botond Baráth ,16.0,0,0,0,0,0,0,0,0.4,3.8,0.1,0.2,0.5,0.3,3.0,5.9,2.9,1.4,0.4,0,0,0,0,1.2,0.1,0,0.1,1368.0,0,0.7,0.6,0.1,3.7,3.7,56.1,6.62,0,0,0,0,0,45.8,3.0,0,0.3,0,0.3,1.2,0.9,"Sporting Kansas City, ",0.2,0.3
Maxime Chanot ,26.0,0,0,0,0,0,0,0,0.5,5.1,0.2,0,0.4,0.4,1.7,4.4,2.8,1.0,0.7,0,0,0,0,1.5,0,0.2,0.2,2340.0,0.1,0.8,0.6,0.1,4.3,4.2,54.8,7.01,0,0,0,0,0,41.7,4.7,0,0.3,0,0.4,2.6,2.2,"New York City FC, ",0.4,0.3
Johan Kappelhof ,11.0,0,0,0,0,0,0,0,0.3,4.1,0.3,0.1,0.3,0.2,0.9,2.4,1.5,1.1,0.4,0,0,0,0,1.1,0,0.2,0.2,989.0,0,0.8,0.1,0,3.3,2.6,39.4,6.36,0,0,0,0,0,30.3,3.2,0.2,0,0,0.2,1.1,0.8,"Chicago Fire, ",0.3,0.2
Maikel van der Werff ,6.0,0,0,0,0,0,0,0,0.3,4.8,0.2,0,0.3,0.3,1.2,4.0,2.8,1.3,1.2,0,0,0,0,0.5,0.2,0.2,0.3,540.0,0.3,0.8,0,0.2,5.3,4.3,50.8,6.29,0,0,0,0,0,36.8,4.3,0,0,0.2,0.2,1.7,1.3,"FC Cincinnati, ",0.5,0.3
Deklan Wynne ,8.0,0,0,0,0,0,0,0,0.3,3.9,0.1,0.1,0.1,0,2.0,3.1,1.1,0.8,0.3,0,0,0,0,0.9,0,0.1,0.1,720.0,0,0.9,0.5,0.4,3.3,4.0,37.6,6.22,0,0,0,0,0,26.8,3.6,0,0,0,0,1.6,1.4,"Colorado Rapids, ",0.1,0
Tommy Smith ,21.0,0,0,0,0,0,0,0,0.1,3.6,0.2,0,0,0,1.0,3.4,2.4,0.5,0.3,0,0,0,0.1,1.0,0.1,0.2,0.3,1875.0,0.1,1.2,0.2,0,2.9,3.0,30.1,6.55,0,0,0,0,0,21.9,2.3,0,0.5,0.2,0.8,0.9,0.7,"Colorado Rapids, ",0.3,0.1
Michael Boxall ,22.0,0,0,0,0,0,0,0,0.4,4.3,0.2,0,0.4,0.3,0.9,2.9,2.0,0.9,0.5,0,0,0,0,1.7,0,0.2,0.2,1980.0,0,0.6,0.3,0.2,1.4,2.5,35.5,6.92,0,0,0,0,0,28.5,3.1,0,0.3,0.1,0.4,2.3,2.0,"Minnesota United, ",0.2,0.1
Sebastien Ibeagha ,7.0,0,0,0,0,0,0,0,0.3,3.9,0,0,0.3,0.3,0.8,3.2,2.4,1.1,0.6,0,0,0,0,0.8,0,0,0,593.0,0,0.6,0.3,0,3.9,3.5,46.9,6.64,0,0,0,0,0,36.7,2.7,0,0.3,0,0.3,1.2,0.9,"New York City FC, ",0.8,0
