name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Franco Escobar ,4,0,0,0,0,0,0,0,0.5,1.5,0.3,0.3,1,0.8,1.3,3,1.8,1.3,0.5,0,0,0,0,1.5,0.3,0,0.3,360,0,0.3,0.5,0,2.8,3.5,51.8,6.77,0,0,0,0,0,39,6.5,0,0.3,0.3,0.5,3,2.5,"Atlanta United, ",1,0
Víctor Cabrera ,12,0,0,0,0,0,0,0,1.8,4.3,0.2,0.2,0.9,0.8,2.3,5,2.7,0.9,0.7,0,0,0,0,2.7,0.1,0.3,0.4,1073,0,0.4,0.3,0,5.9,4.2,61.5,6.94,0,0,0,0,0,47.1,4.4,0.2,0.4,0,0.6,5.1,3.4,"Montreal Impact, ",0.8,0.2
Erik Godoy ,26,0,0,0,0,0,0,0,0.3,4.3,0.1,0.1,0.3,0.2,1.2,2.7,1.4,1.1,0.3,0,0,0,0,1.2,0.1,0.1,0.2,2340,0,1.2,0.3,0,4.4,5.2,47.1,6.59,0,0,0,0,0,34,3.5,0.1,0.3,0,0.4,1.8,1.5,"Vancouver Whitecaps, ",0.3,0.2
Leandro González Pirez ,26,0,0,0,0,0,0,0,0.8,2.5,0.6,0.3,1.2,1,1.3,3.6,2.3,1.6,1.7,0,0,0,0,1.8,0.1,0.2,0.4,2251,0,0.5,0.6,0.1,7,5.3,66.4,6.98,0,0,0,0,0,48.9,5.2,0.2,0.5,0,0.7,3.2,2.4,"Atlanta United, ",0.7,0.4
Gastón Sauro ,15,0,0,0,0,0,0,0,0.2,2.7,0.1,0.1,0.1,0.1,1.1,3.9,2.7,1.1,0.3,0,0,0.1,0.1,1.8,0,0.3,0.3,1285,0,0.4,0.6,0,2.4,2.5,45.9,6.67,0,0,0,0,0,38.2,2.9,0,0.4,0.4,0.8,1.9,1.7,"Columbus Crew, ",0.4,0.3
Laurent Ciman ,13,0,0,0,0,0,0,0,1.3,3.6,0.1,0,0.4,0.4,1.2,2.7,1.5,0.9,0.1,0,0,0,0,1.3,0,0.1,0.1,1114,0.1,0.6,0.2,0.3,7.1,3.6,56.1,6.61,0,0,0,0,0,42.5,2.9,0.4,0.4,0,0.8,2.6,1.3,"Toronto FC, ",0.2,0.2
Auro ,1,1,0,1,0,0,0,0,1,6,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,2,90,0,0,1,0,4,5,58,7.12,0,0,0,0,0,47,2,0,0,0,0,1,0,"Toronto FC, ",1,0
Bressan ,6,0,0,0,0,0,0,0,1.2,3.3,0.4,0,0.2,0.2,1.6,3.5,1.9,1.9,0.5,0,0,0,0,3.2,0,0.2,0.2,511,0,0.7,0.5,0,6.3,3.7,58.3,6.85,0,0,0,0,0,43.5,4.8,0,0.5,0,0.5,4.9,3.7,"FC Dallas, ",0.5,0.2
Marcelo Silva ,12,0,0,0,0,0,0,0,0.6,3.9,0,0,0.1,0.1,1.2,4.4,3.2,1.2,0.7,0,0.1,0,0.1,1.4,0,0.3,0.3,1054,0,0.7,0.9,0.3,1.5,3.2,39.5,6.58,0.1,0,0,0,0,31.1,3.8,0,0.4,0.1,0.5,1.6,1,"Real Salt Lake, ",0.3,0.1
Marcelo ,11,0,0,0,0,0,0,0,1,3.8,0.2,0,0,0,1.6,4.3,2.6,1.3,0.5,0,0,0,0,1.5,0,0,0,990,0,0.5,0.3,0,3.8,5.1,45.7,6.53,0,0,0,0,0,32.2,4.6,0,0.4,0.1,0.5,3.3,2.3,"Chicago Fire, ",0.5,0.1
Danilo Silva ,1,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,3,0,0,0,0,0,1,0,0,0,90,0,0,1,0,5,5,68,6.66,0,0,0,0,0,55,3,0,0,0,0,2,2,"Los Angeles FC, ",0,1
Liam Fraser ,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,90,0,0,0,0,8,4,47,6.55,0,0,0,0,0,33,2,0,0,0,0,3,3,"Toronto FC, ",1,0
Richie Laryea ,1,0,0,0,0,0,0,0,0,2.8,1.4,2.8,5.5,2.8,0,1.4,1.4,0,0,0,0,0,0,1.4,0,1.4,1.4,65,0,1.4,0,0,0,0,59.5,6.8,0,0,0,0,0,56.8,2.8,0,0,0,0,1.4,1.4,"Toronto FC, ",1.4,0
Doneil Henry ,20,0,0,0,0,0,0,0,0.4,5.2,0.2,0,0.2,0.2,1.6,3.4,1.8,0.4,0.5,0,0.2,0,0.2,2.2,0,0.1,0.1,1708,0,1.3,0.4,0.1,2.5,4,37.9,6.72,0,0,0,0,0,28.5,2.9,0,0.5,0.1,0.5,1.6,1.2,"Vancouver Whitecaps, ",0.6,0.2
Ashtone Morgan ,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,46,0,2,2,0,5.9,0,60.7,5.38,0,0,0,0,0,48.9,5.9,0,0,0,0,3.9,2,"Toronto FC, ",3.9,2
Dejan Jakovic ,2,0,0,0,0,0,0,0,0.5,1.5,0,0,1,1,1,3,2,0.5,0.5,0,0,0,0,1.5,0,0.5,0.5,180,0,1,0,0,2,2,42,7.28,0,0,0,0,0,34.5,3.5,0,0,0,0,4,3.5,"Los Angeles FC, ",0.5,0.5
Eddie Segura ,27,0,0,0,0,0,0,0,0.6,3.4,0.2,0,0.1,0.1,1.2,2.9,1.7,0.8,0.3,0,0,0,0,1.1,0,0.1,0.1,2414,0,0.4,0.6,0.2,2.4,2.7,58,6.81,0,0,0,0,0,49,3.8,0,0.4,0.1,0.4,2.6,2.1,"Los Angeles FC, ",0.4,0
Chris Mavinga ,19,0.1,0,0,0,0.1,0,0,0.4,3.9,0.1,0.2,0.6,0.4,1.4,3.4,2,0.9,0.8,0,0,0,0,1.1,0.1,0.3,0.4,1639,0,0.3,0.5,0.2,3.1,2.3,53,6.69,0,0,0,0,0,44.5,3.1,0.1,0.2,0,0.3,1.9,1.5,"Toronto FC, ",0.5,0.2
Larrys Mabiala ,19,0,0,0,0,0,0,0,0.2,4.6,0.1,0,0.1,0.1,1.5,4.1,2.6,1.7,0.2,0,0.1,0,0.1,1.2,0,0.1,0.1,1635,0,0.4,0.4,0.1,2.5,2.3,41.5,6.6,0.1,0,0,0,0,32.3,4.5,0,0.9,0.1,0.9,1,0.8,"Portland Timbers, ",0.4,0.2
Julio Cascante ,16,0.1,0,0,0,0.1,0,0,0.5,4.4,0.1,0.1,0.4,0.3,1.4,3.4,2,1.6,0.2,0,0,0,0,1.1,0.1,0.1,0.2,1367,0,0.9,0.5,0.2,2.6,2.5,39.5,6.5,0.1,0,0,0,0,31.7,2.7,0,0.7,0,0.7,1.4,0.9,"Portland Timbers, ",0.3,0.3
Joseph Mora ,1,0,0,0,0,0,0,0,1,6,0,2,4,2,1,1,0,1,1,0,0,0,0,0,0,1,1,90,0,0,0,2,1,1,31,7.29,0,0,0,0,0,27,2,0,0,0,0,2,1,"DC United, ",0,0
Francisco Calvo ,16,0.1,0,0,0,0,0.1,0,0.9,2.9,0.5,0.6,1.6,1.1,1,2.1,1.1,0.9,0.4,0,0.2,0,0.2,2,0.1,0.6,0.6,1440,0.1,0.6,0.2,0.1,5,6.8,58.4,7.13,0,0,0,0,0,41.5,5.1,0.4,0.6,0.3,1.3,2.9,2,"Chicago Fire, ",0.4,0.1
Kendall Waston ,22,0,0,0,0,0,0,0,0.4,4.5,0.2,0,0.2,0.2,1.1,4.6,3.5,1.3,0.6,0,0,0,0,1.8,0,0.1,0.1,1980,0,0.8,0.1,0,4.3,5.5,51.1,6.62,0,0,0,0,0,35.6,5.6,0,0.7,0,0.8,1.8,1.4,"FC Cincinnati, ",0.5,0.3
Giancarlo González ,13,0,0,0,0,0,0,0,0.8,5.5,0.2,0,0.2,0.2,1.2,2.8,1.6,1.4,0.2,0,0,0,0,1.5,0,0.1,0.1,1170,0,1.4,0.2,0.1,2.9,3.5,34.3,6.44,0,0,0,0,0,25.4,2.5,0,0.4,0,0.4,1.8,1,"LA Galaxy, ",0.4,0.4
Xavier Arreaga ,9,0,0,0,0,0,0,0,0.8,4.1,0,0,0.3,0.3,1.3,3,1.7,0.9,1,0,0,0,0,1.6,0,0.1,0.1,810,0.1,0.3,0.7,0.1,3.6,2.8,46.2,6.44,0,0,0,0,0,37.3,2.6,0,0.6,0.1,0.7,2.2,1.4,"Seattle Sounders FC, ",0.3,0.1
Amro Tarek ,17,0.1,0,0,0,0.1,0,0,0.4,4.2,0.1,0.1,0.1,0,1.6,4.7,3,1.1,0.3,0,0.1,0,0.1,2.2,0.1,0.3,0.5,1368,0,0.7,0.2,0,2.2,7.4,29.7,6.87,0.1,0,0,0,0,15.3,4.9,0,0.5,0,0.5,1.8,1.4,"New York Red Bulls, ",0.4,0.3
Jack Elliott ,29,0,0,0,0,0,0,0,0.6,4.1,0.3,0.1,0.2,0.1,1.1,3.3,2.2,0.6,0.4,0,0,0,0.1,1.4,0,0.3,0.3,2610,0,0.8,0.5,0,4.8,4.7,51.4,6.91,0,0,0,0,0,37.4,4.6,0,0.4,0.3,0.8,2,1.4,"Philadelphia Union, ",0.4,0.1
Andy Rose ,9,0.1,0,0,0,0.1,0,0,0.1,4.4,0,0,0.1,0.1,1.7,2.8,1.1,0.1,0.3,0,0,0,0,1,0,0.1,0.1,810,0,0.8,0.2,0.1,2.6,3.2,44.4,6.14,0,0,0,0,0,36.2,2.4,0,0.3,0.1,0.4,0.4,0.3,"Vancouver Whitecaps, ",0.3,0.1
