,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
James Sands ,13.0,0,0,0,0,0,0,0,0.2,4.2,0.3,0,0.4,0.4,1.0,2.9,1.8,1.1,0.7,0,0,0,0,1.6,0,0.2,0.2,1032.0,0.1,0.6,0.7,0.1,2.9,2.4,52.8,6.68,0,0,0,0,0,42.9,4.7,0,0,0,0,1.7,1.5,"New York City FC, ",0.7,0.2
Mark McKenzie ,2.0,0,0,0,0,0,0,0,0,4.0,0.5,0.5,0.5,0,1.0,3.0,2.0,1.0,0,0,0,0,0,1.5,0,0,0,180.0,0,0.5,0.5,0,1.0,0,29.0,6.71,0,0,0,0,0,23.5,4.5,0,0,0,0,3.0,3.0,"Philadelphia Union, ",0,0
Auston Trusty ,22.0,0,0,0,0,0,0,0,0.5,4.0,0.3,0.1,0.5,0.4,2.6,5.4,2.9,1.4,0.6,0,0,0,0,1.3,0.1,0.1,0.2,1966.0,0,1.1,0.4,0.1,3.1,5.4,48.6,6.86,0,0,0,0,0,35.8,4.3,0.1,0.2,0.2,0.5,3.3,2.8,"Philadelphia Union, ",1.0,0.1
Andrew Farrell ,18.0,0,0,0,0,0,0,0,1.2,4.6,0.2,0.1,0.3,0.2,0.6,1.3,0.7,0.7,0.9,,,,,,0,0,0,1613.0,0,0.4,0.6,0.1,2.7,4.9,38.9,6.43,0,0,0,0,0,27.6,3.7,0,0,0,0,2.3,1.2,"New England Revolution, ",0.4,0.3
Eriq Zavaleta ,11.0,0,0,0,0,0,0,0,0.6,3.3,0.1,0.1,0.1,0,1.8,3.7,1.9,1.0,0.1,,,,,,0.1,0.1,0.2,912.0,0,0.4,0.3,0,2.6,2.2,54.5,6.39,0,0,0,0,0,47.2,2.6,0,0.5,0,0.5,2.6,2.0,"Toronto FC, ",0.3,0.1
Saad Abdul-Salaam ,3.0,0,0,0,0,0,0,0,0.7,2.3,0.7,0,0,0,1.0,2.3,1.3,0.7,0.3,,,,,,0,0,0,270.0,0,0,0.3,0,2.7,2.3,45.7,6.14,0,0,0,0,0,35.3,5.3,0,0,0,0,1.0,0.3,"Seattle Sounders FC, ",1.0,0
Matt Hedges ,28.0,0,0,0,0,0,0,0,0.5,4.0,0.2,0.1,0.5,0.4,1.3,3.4,2.1,0.4,0.3,0,0,0,0,1.5,0,0.3,0.3,2435.0,0,0.9,0.3,0,4.3,3.3,61.7,6.76,0,0,0,0,0,50.2,4.0,0,0.3,0,0.3,1.8,1.3,"FC Dallas, ",0.4,0.2
Kevin Garcia ,5.0,0,0,0,0,0,0,0,0.4,4.4,0.2,0.2,0.8,0.6,2.4,4.0,1.6,0.8,0.6,0,0,0,0,1.6,0,0.2,0.2,450.0,0,0.8,0.4,0,4.0,4.8,49.0,6.4,0,0,0,0,0,36.2,4.0,0,0.2,0,0.2,1.0,0.6,"Houston Dynamo, ",0.2,0
Connor Lade ,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.0,0,1.0,1.0,0,2.0,0,0,0,0,2.0,0,0,0,90.0,0,0,2.0,0,0,6.0,28.0,5.64,0,0,0,0,0,17.0,5.0,0,0,0,0,1.0,0,"New York Red Bulls, ",0,0
Josh Williams ,10.0,0,0,0,0,0,0,0,0.1,3.6,0,0.1,0.1,0,1.7,3.5,1.7,1.2,0.5,0,0.2,0,0.2,0.7,0,0.1,0.1,829.0,0.2,0.3,0.3,0,2.9,2.5,48.1,6.69,0,0,0,0,0,39.8,2.8,0,0.3,0,0.3,1.3,1.2,"Columbus Crew, ",0.4,0.2
Matt Besler ,21.0,0,0,0,0,0,0,0,0.5,3.6,0.1,0,0.2,0.2,1.1,4.0,2.9,0.5,0.4,0,0,0,0,1.5,0.2,0.2,0.3,1775.0,0,0.6,0.3,0,4.5,5.2,71.3,6.68,0,0,0,0,0,56.7,4.9,0,0.1,0,0.1,1.3,0.8,"Sporting Kansas City, ",0.4,0.1
Jeff Larentowicz ,1.0,0,0,0,0,0,0,0,1.0,1.0,2.0,0,0,0,3.0,5.0,2.0,1.0,0,0,0,0,0,1.0,0,0,0,90.0,0,0,1.0,0,2.0,6.0,66.0,6.1,0,0,0,0,0,47.0,11.0,0,0,0,0,5.0,4.0,"Atlanta United, ",1.0,0
