,name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard,dribblePercentage,duelAerialPercentage,passLongBallPercentage,shortPassPercentage,tacklePercentage,assist_percentile,assistCross_percentile,assistThroughball_percentile,clearanceTotal_percentile,dispossessed_percentile,dribbleLost_percentile,dribbleWon_percentile,duelAerialLost_percentile,duelAerialWon_percentile,foulCommitted_percentile,foulGiven_percentile,goalObox_percentile,goalPenaltyArea_percentile,goalSixYardBox_percentile,interceptionAll_percentile,keyPassLong_percentile,keyPassShort_percentile,offsideGiven_percentile,outfielderBlock_percentile,outfielderBlockedPass_percentile,passCrossBlockedDefensive_percentile,passLongBallAccurate_percentile,passLongBallInaccurate_percentile,redCard_percentile,shortPassAccurate_percentile,shortPassInaccurate_percentile,shotOboxTotal_percentile,shotSixYardBox_percentile,shotsTotal_percentile,tackleWonTotal_percentile,turnover_percentile,yellowCard_percentile,dribblePercentage_percentile,duelAerialPercentage_percentile,passLongBallPercentage_percentile,shortPassPercentage_percentile,tacklePercentage_percentile,age,final_rating,top_percentile_average
0,Víctor Cabrera ,12,0.0,0,0.0,0,0.0,0.0,0,1.8,4.3,0.2,0.2,0.9,0.8,2.3,5.0,2.7,0.9,0.7,0,0.0,0.0,0.0,2.7,0.1,0.3,0.4,1073,0.0,0.4,0.3,0.0,5.9,4.2,61.5,6.94,0.0,0,0,0,0,47.1,4.4,0.2,0.4,0.0,0.6,5.1,3.4,"Montreal Impact, ",0.8,0.2,0.8888888890000001,0.54,0.5841584160000001,0.914563107,0.666666667,0.012,0.012,0.012,0.6459999999999999,0.46299999999999997,0.915,0.976,0.963,0.6829999999999999,0.5489999999999999,0.7440000000000001,0.012,0.012,0.012,0.988,0.7440000000000001,0.78,0.012,0.11,0.305,0.012,0.9390000000000001,0.6829999999999999,0.988,0.8290000000000001,0.6459999999999999,0.866,0.012,0.573,0.988,0.037000000000000005,0.5,0.573,0.293,0.866,0.634,0.268,26,76.829,0.568
1,Erik Godoy ,26,0.0,0,0.0,0,0.0,0.0,0,0.3,4.3,0.1,0.1,0.3,0.2,1.2,2.7,1.4,1.1,0.3,0,0.0,0.0,0.0,1.2,0.1,0.1,0.2,2340,0.0,1.2,0.3,0.0,4.4,5.2,47.1,6.59,0.0,0,0,0,0,34.0,3.5,0.1,0.3,0.0,0.4,1.8,1.5,"Vancouver Whitecaps, ",0.3,0.2,0.666666667,0.518518519,0.45833333299999995,0.906666667,0.833333333,0.012,0.012,0.012,0.6459999999999999,0.768,0.5489999999999999,0.402,0.256,0.146,0.341,0.171,0.012,0.012,0.012,0.37799999999999995,0.7440000000000001,0.183,0.012,0.915,0.305,0.012,0.7929999999999999,0.866,0.988,0.39,0.341,0.732,0.012,0.341,0.634,0.8540000000000001,0.5,0.293,0.207,0.341,0.537,0.841,26,58.537,0.532
2,Leandro González Pirez ,26,0.0,0,0.0,0,0.0,0.0,0,0.8,2.5,0.6,0.3,1.2,1.0,1.3,3.6,2.3,1.6,1.7,0,0.0,0.0,0.0,1.8,0.1,0.2,0.4,2251,0.0,0.5,0.6,0.1,7.0,5.3,66.4,6.98,0.0,0,0,0,0,48.9,5.2,0.2,0.5,0.0,0.7,3.2,2.4,"Atlanta United, ",0.7,0.4,0.833333333,0.638888889,0.569105691,0.903881701,0.75,0.012,0.012,0.012,0.024,0.012,0.976,0.988,0.37799999999999995,0.573,0.073,1.0,0.012,0.012,0.012,0.805,0.7440000000000001,0.46299999999999997,0.012,0.244,0.7070000000000001,0.39,0.976,0.89,0.988,0.902,0.915,0.866,0.012,0.6709999999999999,0.951,0.073,0.9390000000000001,0.512,0.6709999999999999,0.7929999999999999,0.488,0.512,27,70.732,0.556
3,Gastón Sauro ,15,0.0,0,0.0,0,0.0,0.0,0,0.2,2.7,0.1,0.1,0.1,0.1,1.1,3.9,2.7,1.1,0.3,0,0.0,0.1,0.1,1.8,0.0,0.3,0.3,1285,0.0,0.4,0.6,0.0,2.4,2.5,45.9,6.67,0.0,0,0,0,0,38.2,2.9,0.0,0.4,0.4,0.8,1.9,1.7,"Columbus Crew, ",0.4,0.3,1.0,0.692307692,0.489795918,0.929440389,0.894736842,0.012,0.012,0.012,0.061,0.768,0.5489999999999999,0.195,0.195,0.6829999999999999,0.341,0.171,0.012,0.012,0.9390000000000001,0.805,0.012,0.78,0.012,0.11,0.7070000000000001,0.012,0.171,0.195,0.988,0.585,0.171,0.012,1.0,0.805,0.732,0.598,0.768,0.585,0.841,0.439,0.8170000000000001,0.951,29,89.024,0.611
4,Laurent Ciman ,13,0.0,0,0.0,0,0.0,0.0,0,1.3,3.6,0.1,0.0,0.4,0.4,1.2,2.7,1.5,0.9,0.1,0,0.0,0.0,0.0,1.3,0.0,0.1,0.1,1114,0.1,0.6,0.2,0.3,7.1,3.6,56.1,6.61,0.0,0,0,0,0,42.5,2.9,0.4,0.4,0.0,0.8,2.6,1.3,"Toronto FC, ",0.2,0.2,1.0,0.5555555560000001,0.6635514020000001,0.936123348,0.5,0.012,0.012,0.012,0.244,0.768,0.012,0.7929999999999999,0.256,0.183,0.5489999999999999,0.037000000000000005,0.012,0.012,0.012,0.488,0.012,0.183,0.78,0.354,0.134,0.902,0.988,0.5,0.988,0.6709999999999999,0.171,0.963,0.012,0.805,0.488,0.927,0.5,0.585,0.366,0.951,0.915,0.024,34,73.171,0.558
5,Bressan ,6,0.0,0,0.0,0,0.0,0.0,0,1.2,3.3,0.4,0.0,0.2,0.2,1.6,3.5,1.9,1.9,0.5,0,0.0,0.0,0.0,3.2,0.0,0.2,0.2,511,0.0,0.7,0.5,0.0,6.3,3.7,58.3,6.85,0.0,0,0,0,0,43.5,4.8,0.0,0.5,0.0,0.5,4.9,3.7,"FC Dallas, ",0.5,0.2,1.0,0.542857143,0.63,0.900621118,0.7551020409999999,0.012,0.012,0.012,0.171,0.049,0.012,0.402,0.598,0.354,0.012,0.537,0.012,0.012,0.012,1.0,0.012,0.46299999999999997,0.012,0.46299999999999997,0.573,0.012,0.951,0.537,0.988,0.72,0.805,0.012,0.012,0.451,1.0,0.244,0.5,0.585,0.317,0.902,0.439,0.598,26,63.415,0.544
6,Marcelo Silva ,12,0.0,0,0.0,0,0.0,0.0,0,0.6,3.9,0.0,0.0,0.1,0.1,1.2,4.4,3.2,1.2,0.7,0,0.1,0.0,0.1,1.4,0.0,0.3,0.3,1054,0.0,0.7,0.9,0.3,1.5,3.2,39.5,6.58,0.1,0,0,0,0,31.1,3.8,0.0,0.4,0.1,0.5,1.6,1.0,"Real Salt Lake, ",0.3,0.1,1.0,0.727272727,0.319148936,0.891117479,0.625,0.012,0.012,0.012,0.39,0.988,0.012,0.195,0.256,0.878,0.207,0.7440000000000001,0.012,0.8540000000000001,0.012,0.537,0.012,0.78,0.012,0.46299999999999997,0.988,0.902,0.037000000000000005,0.402,0.061,0.28,0.47600000000000003,0.012,0.537,0.451,0.268,0.8540000000000001,0.134,0.585,0.9390000000000001,0.073,0.32899999999999996,0.11,30,41.463,0.497
7,Marcelo ,11,0.0,0,0.0,0,0.0,0.0,0,1.0,3.8,0.2,0.0,0.0,0.0,1.6,4.3,2.6,1.3,0.5,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,990,0.0,0.5,0.3,0.0,3.8,5.1,45.7,6.53,0.0,0,0,0,0,32.2,4.6,0.0,0.4,0.1,0.5,3.3,2.3,"Chicago Fire, ",0.5,0.1,0.0,0.604651163,0.426966292,0.875,0.696969697,0.012,0.012,0.012,0.341,0.46299999999999997,0.012,0.012,0.598,0.6459999999999999,0.171,0.537,0.012,0.012,0.012,0.622,0.012,0.012,0.012,0.244,0.305,0.012,0.61,0.8540000000000001,0.988,0.341,0.7070000000000001,0.012,0.537,0.451,0.927,0.244,0.134,0.012,0.512,0.23199999999999998,0.146,0.341,30,12.195,0.415
8,Doneil Henry ,20,0.0,0,0.0,0,0.0,0.0,0,0.4,5.2,0.2,0.0,0.2,0.2,1.6,3.4,1.8,0.4,0.5,0,0.2,0.0,0.2,2.2,0.0,0.1,0.1,1708,0.0,1.3,0.4,0.1,2.5,4.0,37.9,6.72,0.0,0,0,0,0,28.5,2.9,0.0,0.5,0.1,0.5,1.6,1.2,"Vancouver Whitecaps, ",0.6,0.2,1.0,0.529411765,0.384615385,0.907643312,0.75,0.012,0.012,0.012,0.89,0.46299999999999997,0.012,0.402,0.598,0.317,0.951,0.537,0.012,0.951,0.012,0.963,0.012,0.183,0.012,0.9390000000000001,0.512,0.39,0.22,0.6459999999999999,0.988,0.183,0.171,0.012,0.537,0.451,0.402,0.098,0.5,0.585,0.256,0.171,0.598,0.512,26,31.707,0.47
9,Eddie Segura ,27,0.0,0,0.0,0,0.0,0.0,0,0.6,3.4,0.2,0.0,0.1,0.1,1.2,2.9,1.7,0.8,0.3,0,0.0,0.0,0.0,1.1,0.0,0.1,0.1,2414,0.0,0.4,0.6,0.2,2.4,2.7,58.0,6.81,0.0,0,0,0,0,49.0,3.8,0.0,0.4,0.1,0.4,2.6,2.1,"Los Angeles FC, ",0.4,0.0,1.0,0.5862068970000001,0.470588235,0.928030303,0.807692308,0.012,0.012,0.012,0.207,0.46299999999999997,0.012,0.195,0.256,0.256,0.6709999999999999,0.171,0.012,0.012,0.012,0.293,0.012,0.183,0.012,0.11,0.7070000000000001,0.768,0.171,0.293,0.988,0.915,0.47600000000000003,0.012,0.537,0.341,0.878,0.598,0.012,0.585,0.439,0.39,0.7929999999999999,0.805,22,60.976,0.535
